/ && GET,^/product/[0-9][[:alnum:]]*$ && GET,,,,avg,
879.0461947904588,1181.5789473684201,1516.304347826086,17.805555555555557,1104.716981132074,928.3357245337163,
888.6426592797782,1102.7777777777762,1340.5737704918038,18.764705882352935,927.7777777777778,900.9740259740262,
942.6273458445039,995.1388888888873,987.3737373737376,22.249999999999986,735.7142857142853,890.1223776223782,
942.6273458445039,995.1388888888873,987.3737373737376,22.249999999999986,735.7142857142853,890.1223776223782,
942.6273458445039,995.1388888888889,987.3737373737376,22.249999999999986,735.7142857142844,890.1223776223774,
942.6273458445039,995.1388888888873,987.3737373737376,22.249999999999986,735.7142857142853,890.1223776223782,
1214.8648648648655,960.1449275362311,994.8453608247426,22.259615384615415,867.0731707317068,946.3667820069213,
1637.499999999999,884.246575342465,961.9266055045871,22.367924528301895,783.7209302325584,965.0612959719791,
1877.2471910112356,850.0000000000005,955.128205128205,23.35714285714287,809.0909090909092,1004.755043227665,
1877.2471910112356,850.0000000000005,955.128205128205,23.35714285714287,809.0909090909092,1004.755043227665,
1877.2471910112356,850.0000000000002,955.128205128205,23.357142857142865,809.0909090909092,1004.7550432276669,
1889.6057871041453,795.4004711863818,953.6066191618407,21.96770152587654,771.6662490241623,995.2476123659867,
1982.0077167031131,778.3224214415111,980.5306459663677,12.837638002633483,703.5471708973694,1076.0815169877296,
1976.5969312802654,684.1919546112198,978.1973921816044,11.707761977315062,629.9391660479492,1017.8983405193151,
1941.0641499731541,563.3620634494056,972.3403835807823,11.116714939344341,586.7454676241446,965.6716804523826,
1940.273533291704,558.8403309950679,972.6797659346537,11.041787368384536,581.8984519560357,965.3467826765907,
1939.5060456700721,554.4117447715455,973.0101597602684,10.967957937911624,577.0895891866651,965.0290536109492,
1901.9918253535757,604.5388060612344,971.9458713538378,12.224710625247344,625.7066768205968,960.9280097689241,
1714.8742243908246,592.6003266520627,972.8684380350444,11.171984576605357,521.7085706657164,920.4505721700261,
1713.3222449399207,592.0932603840567,973.0903069157184,11.208823294627672,522.179042845469,920.4649960064818,
1101.0932362729427,786.4353108568985,1363.7115766957618,10.083507362467696,742.5157187732699,916.7202093812255,
1112.2896313856013,780.3675972032868,1383.1683168316833,10.542553191489379,733.6956521739125,917.0027004973848,
1109.485063907708,778.8990825688074,1383.1683168316833,10.542553191489379,733.6956521739125,915.330601170132,
1059.4339622641526,778.8990825688074,1383.1683168316833,10.542553191489379,733.6956521739125,915.3714427164352,
930.8834766081504,974.0528860964932,1578.0140243087128,9.294250487022747,968.1106557805765,950.8873095563434,
906.6489699354286,959.5337465613818,1543.9511506694525,8.873473317802015,954.5584526788076,935.8428758327537,
865.2757808112362,1119.0597575176662,1617.0976023509415,8.295847846519603,1202.527933608418,954.5361185616662,
844.3988977809912,1370.2404025379333,1696.036359641731,7.843035690568761,1410.5941042191446,977.0440771759379,
844.8026649857293,1370.357931987642,1695.906366960944,7.777991350312351,1418.0923010333827,977.4946887163479,
845.1972320586206,1370.4727694174467,1697.4053027244681,7.713827733239281,1424.514595353783,977.9353910712339,
868.2175507493682,1438.987065549326,1712.570390931644,7.457039786625766,1446.7917361871669,991.5903701083362,
908.3224967490246,1380.6451612903247,1669.6551724137933,8.159235668789808,1282.2580645161304,989.4181821012996,
952.2896039603959,1198.1981981981987,1514.9999999999986,8.429447852760738,1107.0175438596502,973.0493272861946,
987.8146453089246,1097.6635514018708,1295.0892857142849,8.747093023255815,990.990990990991,961.9572799597374,
976.887229941078,1108.9991808772072,1295.0892857142849,8.728118522705858,994.2300665058826,956.3347657912484,
