/ && GET,/cart && GET,/cart/checkout && POST,/product/{id} && GET,/setCurrency && POST,avg
842.2077922077917,899.4505494505479,875.3331162595882,769.4652430105275,4.501685891748005,663.1578947368429,
789.637305699481,868.4523809523806,818.2628041402361,761.6627797034444,4.496071428571429,598.2837528604132,
783.1460955210781,876.032390730168,800.7828576443178,779.7751746450293,4.47555465140816,591.7106474695278,
781.9316151745152,936.9846030323038,781.0160886760068,780.4621198910486,4.444507930368492,596.5989297223774,
774.8707168550641,943.6192780394474,736.8639275021474,788.8553459455054,4.435504272211071,576.9015840090092,
769.1363432325604,863.9733878019856,697.3465282982478,781.4674322341585,4.431243057611225,541.6585272869922,
713.982143719033,757.5374180606882,657.0483243903831,690.4194461432503,4.4304574206841805,490.96476273731605,
672.2695415135784,655.3070711477374,639.7428637386874,601.8852353055952,4.419075307402789,472.929437034521,
685.8712280284177,588.3315364654086,713.4932727876408,566.7415777817724,4.419420472488234,473.4092149410295,
695.067264573991,579.9999999999993,702.2604982199283,549.1013605442184,4.414218009478674,471.5767634854783,
693.0612244897966,517.968749999999,680.908463925435,502.9942176870757,4.407937743190663,467.67299864314737,
691.7322834645679,497.5746268656713,639.9119635230445,502.1125850340148,4.396923076923079,464.417989417989,
703.6630036630038,488.9925373134327,592.306521903294,498.2506565047009,4.407656967840737,465.38216560509443,
707.1174377224193,489.5522388059701,603.3001303987802,499.2850678481661,4.412576687116565,468.8287153652384,
709.6938775510216,490.4850746268653,630.99144628852,508.7431972789124,4.409815950920245,473.9062499999999,
704.778156996588,491.41791044776085,628.9598092503279,499.5388928933952,4.40137299771167,471.09079445145017,
684.8754448398579,495.3358208955224,588.4288113048332,490.16928942218806,4.401226993865031,463.02281368821286,
710.5734767025091,488.80597014925377,575.1684125219665,491.3307933289704,4.406134969325154,465.57741116751265,
763.908450704226,484.02255639097746,566.0095084285547,487.10362049917,4.404658385093169,475.0314465408803,
809.7132384648576,482.3879551820728,611.0452099552425,483.6391812278041,4.40876168224299,487.9067329346895,
843.2989690721652,463.1578947368424,605.0368266588478,468.5162614166243,4.4,490.31755915317615,
846.0481099656377,440.1162790697677,525.2100840336121,454.6284175502924,4.3907936507936505,479.03746770025873,
843.6643835616444,426.69491525423723,491.3265306122454,450.14768582016495,4.38332009531374,471.1696306429558,
832.6086956521742,417.2680412371135,477.1834061135371,439.69797463136837,4.375949367088608,458.01186943620183,
822.3484848484865,394.7530864197533,466.62844036697277,427.4566101019227,4.377812745869395,444.9603174603177,
816.0852713178296,368.35937500000045,449.49494949494965,371.4999020951637,4.378838504375498,430.27482269503594,
813.7254901960792,353.26086956521704,435.54687500000034,379.24448688622925,4.366158781074581,423.26923076923003,
756.8281938325982,247.5438596491228,421.5277777777781,286.8067123125423,4.357234726688105,379.67391304347893,
705.68720379147,232.33727810650893,398.8372093023256,240.1572377203909,4.352791068580544,334.46428571428686,
667.9487179487168,295.9459459459459,425.28248587570636,353.55648535564944,4.364556962025317,352.4671052631586,
661.9170984455944,394.29824561403524,450.1366120218588,397.09334994359165,4.361392405063293,373.7829614604452,
647.1291866028703,415.44117647058835,461.35204081632696,451.79139288398085,4.35868544600939,389.7086466165407,
613.0434782608694,442.5675675675675,468.0851063829788,487.14545865717685,4.3576802507837,393.6574074074067,
630.4651162790697,444.2528735632183,478.25443786982225,477.39205300254685,4.348535233570862,401.502732240437,
644.9771689497711,438.2978723404259,478.70370370370404,467.9458148997263,4.352321007081039,401.188299817184,
655.4298642533934,446.64948453608196,498.7261146496827,483.14740813594085,4.350079491255963,413.14338235294014,
637.4305173768964,478.4969321890492,569.6771090713318,495.00828305014375,4.427787995748121,434.40300005493253,
609.116540945106,478.531930056089,596.5795208675639,494.96525634564813,4.42800188838479,433.3763430987106,
703.6992692642418,601.1802250962738,700.517816757964,688.2971665470585,4.501763708305236,481.57205915195055,
665.9310657212327,504.820219802878,674.5840656569991,637.9777200350737,4.701628266245146,475.6361776888512,
650.4579118029106,499.762698949343,641.6669806025849,639.6568781976059,4.711920515160659,472.8338611851781,
615.2514042862321,579.6698370798276,677.6274647483208,713.1441991153821,4.827061043706845,486.09358505768876,
604.0822905328348,580.0026051134237,685.3622748796653,714.8105047445739,4.837635487429553,485.87384295403,
553.3135435228712,600.7333806771867,689.7011149544741,713.4297319301066,5.4327914082429265,487.8066259452904,
543.6357227777522,601.3497785534529,696.9192605593089,713.5105188736804,5.800255600889535,488.1969615104697,
615.170293378204,651.339319185061,780.2798885091047,755.5169183538261,7.3254366661412345,516.8985526471863,
614.3463147259006,650.6922198636356,766.2062560651132,754.3869191250349,7.729251810696362,515.3081367955115,
622.5741602403464,656.1570809427765,743.5047402998067,754.5828844737307,10.929916170933847,533.9666360489488,
633.4582262883632,653.5682450245068,762.1851847836324,751.438120748127,11.721984797296665,545.1891308128513,
585.5306225967036,609.1053882496294,739.7925055555356,716.7134739977907,15.927717123364149,505.8113786521818,
493.4611060567204,606.3021475250778,739.8537840800459,710.5464197984007,16.244304621451114,495.2446283994266,
481.75291810913507,582.1565498068762,689.795303674569,691.9156439203032,18.606157777756017,488.5320449044319,
477.72227718519287,572.741985724713,669.6401965725396,675.3624147122067,18.002848958986913,486.2762037805435,
481.8071170236108,595.2478145954689,737.3389439095137,684.7292345296332,17.449655580007825,493.4933181053826,
484.03992347066446,625.1249515782278,755.5397651589876,708.7372487766505,17.674414308211006,497.30002110645154,
484.47651637718366,622.5646327343735,764.9849777787612,714.6469292436751,17.795044887102662,502.44613714083584,
481.9106756394766,614.7605272129117,783.5318522773823,733.0780396011247,17.942931663328114,501.9197472303782,
482.0771583113957,619.9644315574075,798.9873916033935,734.0539989938867,17.980092526074614,509.175496624883,
483.58305174418933,618.4517503257197,824.9768030450971,730.2926727009034,18.223748928388424,528.2091852811816,
486.98680423195356,628.3951648100863,843.0419906468543,737.6190255788126,18.520022086584078,546.2213686066566,
488.600064044128,638.3327342458343,850.3140575133284,746.0583940445166,18.398999694298283,550.9210361753746,
493.36524422374646,623.9208955430487,832.5469864975001,743.5098736027026,18.88790713654331,543.7957580302136,
560.5100811705825,637.7790768637262,799.2719936059714,764.9700216336573,18.60892312441434,565.1921386457217,
527.3079814177003,646.6949366411046,808.5426446374798,759.3165346387609,19.3368852526661,558.426386920488,
562.0324689502958,660.9961342725635,792.4009358508195,768.398312472817,18.944780102882113,562.6925159964886,
577.0165689935172,695.9917792766311,809.7370596984433,804.3736286354765,19.65802716989184,589.1528585932504,
589.4149872430297,729.3081614970279,791.5142200272546,829.9684138538635,19.254361709401714,598.2552084961349,
601.0911378469759,739.9998686560318,778.2250979984269,848.9270602049926,20.7446857142857,601.7750785670091,
681.8969481352399,728.17370381869,812.3644510828974,863.407754720783,19.26259488645385,631.733754661866,
681.8969481352399,728.17370381869,812.3644510828974,863.407754720783,19.259346355407324,631.733754661866,
